POSICION,EQUIPO,PRESUPUESTO PARA TRASNFERENCIAS,PRESUPUESTO PARA SUELDOS,INGRESOS POR TV,BONO POR POSICION,BONOS CHAMPIONS LEAGUE,BONOS EUROPA LEAGUE,BONOS CONFERENCE,INGRESO POR ASCENSO,INGRESOS POR TRASPASOS,GASTOS POR TRASPASOS,ASISTENCIA PROMEDIO,PRECIO DE ENTRADA,GANANCIAS ESTADIO,SCORE_MS,,
1,MAN CITY ,"$96,000,000.00","$4,000,000.00","$135,600,000.00","$48,000,000.00","$85,300,000.00",$0.00,$0.00,$0.00,"$162,170,000.00","$155,000,000.00","52,774",$44.00,"$17,647,625.60",EXCELENTE,,"$393,717,625.60"
2,ARSENAL,"$4,000,000.00","$3,000,000.00","$135,600,000.00","$45,600,000.00",$0.00,"$7,700,000.00",$0.00,$0.00,"$23,800,000.00","$191,900,000.00","59,776",$28.50,"$12,947,481.60",EXCELENTE,,"$40,747,481.60"
3,MAN U,"$15,000,000.00","$5,000,000.00","$135,600,000.00","$43,200,000.00",$0.00,"$9,300,000.00",$0.00,$0.00,"$23,650,000.00","$243,280,000.00","73,150",$36.00,"$20,013,840.00",EXCELENTE,,"$8,483,840.00"
4,NEWCASTLE,"$40,000,000.00","$2,000,000.00","$135,600,000.00","$40,800,000.00",$0.00,$0.00,$0.00,$0.00,"$14,060,000.00","$185,350,000.00","52,134",$44.00,"$17,433,609.60",EXCELENTE,,"$64,543,609.60"
5,LIVERPOOL,"$5,000,000.00","$4,000,000.00","$135,600,000.00","$38,400,000.00","$48,600,000.00",$0.00,$0.00,$0.00,"$80,700,000.00","$137,390,000.00","52,998",$9.00,"$3,625,063.20",EXCELENTE,,"$178,535,063.20"
6,BRIGHTON,"$7,000,000.00","$1,000,000.00","$135,600,000.00","$36,000,000.00",$0.00,$0.00,$0.00,$0.00,"$137,900,000.00","$55,700,000.00","30,943",$30.00,"$7,055,004.00",EXCELENTE,,"$268,855,004.00"
7,ASTON VILLA,"$18,000,000.00","$2,000,000.00","$135,600,000.00","$33,600,000.00",$0.00,$0.00,$0.00,$0.00,"$54,000,000.00","$100,140,000.00","41,681",$40.50,"$12,829,411.80",BUENO,,"$155,889,411.80"
8,TOTTENHAM,"$19,000,000.00","$3,000,000.00","$135,600,000.00","$31,200,000.00","$45,400,000.00",$0.00,$0.00,$0.00,"$38,750,000.00","$177,900,000.00","56,523",$37.00,"$15,894,267.60",EXCELENTE,,"$110,944,267.60"
9,BRENDFORD,"$7,000,000.00","$1,000,000.00","$135,600,000.00","$28,800,000.00",$0.00,$0.00,$0.00,$0.00,"$3,600,000.00","$49,250,000.00","16,912",$30.00,"$3,855,936.00",BUENO,,"$130,605,936.00"
10,FULHAM,"$1,000,000.00","$1,000,000.00","$135,600,000.00","$26,400,000.00",$0.00,$0.00,$0.00,"$170,000,000.00","$21,900,000.00","$72,200,000.00","19,896",$35.00,"$5,292,336.00",BUENO,,"$288,992,336.00"
11,CRYSTAL PALACE,"$3,000,000.00","$2,000,000.00","$135,600,000.00","$24,000,000.00",$0.00,$0.00,$0.00,$0.00,"$5,460,000.00","$46,600,000.00","24,282",$42.00,"$7,750,814.40",BUENO,,"$131,210,814.40"
12,CHELSEA,"$19,000,000.00","$6,000,000.00","$135,600,000.00","$21,600,000.00","$56,100,000.00",$0.00,$0.00,$0.00,"$67,800,000.00","$611,490,000.00","37,812",$25.00,"$7,184,280.00",BUENO,,"-$298,205,720.00"
13,WOLVES,"$3,000,000.00","$2,000,000.00","$135,600,000.00","$19,200,000.00",$0.00,$0.00,$0.00,$0.00,"$62,870,000.00","$177,110,000.00","30,765",$35.00,"$8,183,490.00",MALO,,"$53,743,490.00"
14,WEST HAM,"$14,000,000.00","$2,000,000.00","$135,600,000.00","$16,800,000.00",$0.00,$0.00,"$11,900,000.00",$0.00,"$21,550,000.00","$186,500,000.00","62,447",$30.00,"$14,237,916.00",BUENO,,"$29,587,916.00"
15,BOURNEMOUTH,"$600,000.00","$1,000,000.00","$135,600,000.00","$14,400,000.00",$0.00,$0.00,$0.00,"$170,000,000.00",$0.00,"$83,100,000.00","11,189",$28.00,"$2,381,019.20",BUENO,,"$240,881,019.20"
16,FOREST,"$9,000,000.00","$2,000,000.00","$135,600,000.00","$12,000,000.00",$0.00,$0.00,$0.00,"$170,000,000.00","$5,000,000.00","$195,250,000.00","28,000",$38.00,"$8,086,400.00",MALO,,"$146,436,400.00"
17,EVERTON,"$31,000,000.00","$2,000,000.00","$135,600,000.00","$9,600,000.00",$0.00,$0.00,$0.00,$0.00,"$103,600,000.00","$78,200,000.00","38,968",$55.00,"$16,288,624.00",BUENO,,"$219,888,624.00"
18,LEICESTER CITY,"$22,000,000.00","$2,000,000.00","$135,600,000.00","$7,200,000.00",$0.00,$0.00,$0.00,$0.00,"$81,400,000.00","$49,000,000.00","31,941",$30.00,"$7,282,548.00",MALO,,"$206,482,548.00"
19,LEEDS,"$3,000,000.00","$1,000,000.00","$135,600,000.00","$4,800,000.00",$0.00,$0.00,$0.00,$0.00,"$114,500,000.00","$151,390,000.00","36,308",$25.00,"$6,898,520.00",MALO,,"$114,408,520.00"
20,SOUTHAMPTON,"$2,000,000.00","$2,000,000.00","$135,600,000.00","$2,400,000.00",$0.00,$0.00,$0.00,$0.00,"$5,500,000.00","$152,110,000.00","29,939",$20.00,"$4,550,728.00",MALO,,"-$59,272.00"
